022374,-1.24%
159329,-16.53%
520830,-16.80%
873002,-0.38%
022325,-9.09%
022503,-2.30%
019630,-2.02%
017970,-1.27%
022512,-2.08%
004161,-10.88%
019230,-5.26%
025339,-3.23%
024393,-12.46%
159803,-16.50%
023073,-12.20%
025174,-24.69%
023242,-14.25%
024166,-16.59%
007813,-15.40%
026228,-4.94%
024237,-7.43%
008095,-5.85%
007204,-6.65%
159202,-17.31%
023763,-17.45%
023764,-17.18%
520520,-16.39%
024148,-16.27%
022170,-11.76%
165510,-37.30%
520580,-9.49%
021583,-13.36%
100050,-9.18%
008367,-9.86%
020621,-13.02%
007360,-9.46%
159519,-13.39%
024055,-20.58%
019155,-9.36%
002230,-63.25%
003972,-15.72%
513810,-13.78%
513170,-13.87%
159303,-21.78%
002287,-11.24%
159557,-21.94%
021658,-21.01%
020634,-21.29%
003385,-12.73%
000274,-20.77%
019415,-24.86%
520500,-26.30%
021053,-21.64%
025162,-10.21%
002426,-11.29%
004419,-16.35%
002391,-11.57%
513950,-15.62%
873013,-11.40%
020743,-20.65%
010343,-18.60%
002286,-12.71%
011940,-18.92%
002400,-23.88%
019102,-20.88%
023373,-11.50%
002877,-13.56%
018155,-20.73%
018851,-31.47%
008751,-14.09%
159561,-14.63%
320017,-33.98%
183001,-29.89%
019710,-29.66%
021633,-25.18%
019075,-19.79%
021189,-14.25%
019936,-24.34%
005243,-15.79%
022647,-25.32%
022121,-26.30%
159687,-15.30%
150170,-43.40%
050030,-16.54%
020988,-26.10%
022680,-25.92%
513400,-15.92%
159529,-18.28%
023034,-25.97%
022005,-26.78%
159699,-25.92%
022523,-16.99%
513210,-19.65%
018064,-17.64%
017641,-17.40%
159518,-34.67%
513530,-25.06%
501300,-27.11%
018738,-17.64%
013328,-17.48%
159655,-18.38%
513350,-34.85%
017028,-17.90%
022681,-17.98%
513650,-18.56%
159612,-18.58%
019265,-23.89%
000342,-26.12%
007729,-19.23%
020712,-21.17%
019441,-21.00%
001061,-19.55%
023422,-21.19%
023402,-20.72%
015299,-21.88%
160922,-42.89%
019736,-21.37%
018043,-21.36%
016055,-21.35%
018966,-21.80%
021773,-21.82%
022524,-22.61%
022525,-21.61%
021838,-21.95%
021000,-21.67%
016532,-21.94%
016452,-21.68%
019547,-21.76%
019172,-21.44%
018229,-20.02%
012920,-20.18%
159659,-22.36%
159513,-22.44%
021778,-22.55%
513110,-22.56%
159660,-22.52%
159696,-22.51%
513870,-22.55%
159501,-22.59%
513390,-22.64%
017894,-22.08%
159632,-22.67%
019454,-20.69%
022664,-23.22%
019524,-23.29%
018577,-30.46%
513140,-21.68%
003629,-21.58%
019174,-22.14%
513290,-23.08%
017091,-24.61%
019118,-24.65%
000103,-58.73%
015203,-24.43%
011706,-22.14%
016199,-28.16%
519602,-60.88%
159509,-25.05%
018336,-26.77%
015884,-28.69%
513310,-22.72%
159823,-53.37%
017071,-25.26%
013363,-30.80%
164701,-23.51%
202801,-35.96%
016701,-25.86%
160719,-23.82%
320013,-23.59%
013404,-23.31%
164212,-23.32%
513970,-31.90%
018200,-31.87%
000369,-24.05%
501226,-23.85%
017653,-23.85%
110011,-56.94%
015310,-33.44%
017436,-29.87%
012570,-33.68%
206006,-60.65%
012060,-28.81%
519696,-25.28%
513260,-34.46%
163813,-26.61%
017144,-31.26%
161128,-30.03%
019670,-36.51%
007280,-26.56%
000043,-28.64%
000290,-61.34%
161130,-28.91%
539001,-28.65%
519981,-26.90%
513800,-27.36%
513880,-29.83%
513520,-30.14%
