2026-05-15,,,,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼
QDII,018577,2023-07-18,摩根恒生科技ETF发起式联接(QDII)(018577),-25.50%,-30.46%,6.66%,34.23%
QDII,007360,2019-06-05,易方达中短期美元债债券(QDII)(007360),-2.93%,-9.46%,6.73%,3.02%
QDII,025339,2025-08-26,招商普盛全球配置（QDII）人民币D,-0.92%,-7.65%,6.79%,0.93%
QDII,110011,2008-06-19,易方达优质精选混合（QDII）(110011),-44.99%,-48.78%,6.89%,81.77%
QDII,025162,2025-08-11,国泰大宗商品（QDII-LOF）D,-5.26%,-11.86%,6.97%,5.55%
QDII,022170,2024-09-18,富国全球消费精选混合（QDII）E,-5.13%,-11.83%,7.06%,5.41%
QDII,008367,2020-04-07,富国亚洲收益债券（QDII）(008367),-2.85%,-9.86%,7.21%,2.94%
QDII,024148,2025-06-19,长城恒生科技指数（QDII）(024148),-23.36%,-28.98%,7.33%,30.48%
QDII,019155,2023-09-05,易方达全球配置混合（QDII）(019155),-1.88%,-9.36%,7.63%,1.91%
QDII,000274,2013-11-28,广发亚太中高收益债券（QDII）(000274),-13.03%,-19.77%,7.75%,14.98%
QDII,002426,2016-06-03,华安全球美元票息债券(002426),-3.66%,-11.29%,7.92%,3.80%
QDII,023373,2025-02-12,建信富时100指数D(人民币),-3.76%,-11.50%,8.04%,3.91%
QDII,023073,2025-01-17,国泰海通中证港股通高股息投资指数发起（QDII）(023073),-4.24%,-12.20%,8.31%,4.43%
QDII,002391,2016-03-23,华安全球美元收益债券(002391),-3.55%,-11.57%,8.31%,3.68%
QDII,004419,2017-04-20,汇添富美元债债券(QDII)(004419),-8.58%,-16.35%,8.50%,9.38%
QDII,025587,2025-11-28,光大保德信阳光香港精选混合（QDII）(025587),-8.52%,-16.40%,8.62%,9.31%
QDII,159561,2024-04-03,嘉实德国DAX ETF（QDII）(159561),-6.54%,-14.63%,8.66%,6.99%
QDII,159699,2023-08-10,广发恒生消费（QDII-ETF）(159699),-18.82%,-25.92%,8.75%,23.18%
QDII,002286,2015-12-30,中银美元债债券（QDII）(002286),-3.94%,-12.71%,9.13%,4.10%
QDII,021583,2024-07-03,中欧中证港股通央企红利指数发起(QDII)(021583),-5.22%,-13.94%,9.20%,5.50%
QDII,002400,2016-03-03,南方亚洲美元收益债券（QDII）(002400),-15.70%,-23.50%,9.25%,18.62%
QDII,025174,2025-08-22,长城港股医疗保健精选混合发起（QDII）(025174),-21.99%,-29.23%,9.27%,28.20%
QDII,018155,2023-11-17,创金合信全球医药生物股票发起（QDII）(018155),-12.33%,-20.73%,9.58%,14.06%
QDII,002287,2015-12-30,中银美元债债券（QDII）美元份额,-1.56%,-11.24%,9.84%,1.58%
QDII,015310,2022-08-23,华泰柏瑞恒生科技ETF联接（QDII）(015310),-25.91%,-33.44%,10.16%,34.98%
QDII,513260,2022-08-31,汇添富恒生科技ETF(513260),-26.93%,-34.46%,10.30%,36.86%
QDII,012570,2022-09-21,建信恒生科技指数发起（QDII）(012570),-25.93%,-33.68%,10.46%,35.00%
QDII,513950,2023-04-19,富国恒生港股通高股息低波动ETF（QDII）(513950),-5.31%,-15.38%,10.64%,5.60%
QDII,008751,2020-03-25,大成全球美元债债券(008751),-3.53%,-13.89%,10.74%,3.65%
QDII,873013,2020-12-02,广发资管全球精选一年持有期债券A,-0.60%,-11.40%,10.86%,0.61%
QDII,020621,2024-03-08,华夏中证香港内地国有企业ETF发起式联接（QDII）(020621),-2.28%,-13.02%,10.99%,2.34%
QDII,513220,2022-07-04,招商中证全球中国互联网ETF（QDII）(513220),-28.19%,-36.17%,11.12%,39.25%
QDII,002877,2016-07-27,华夏大中华信用债券(QDII)(002877),-1.80%,-12.75%,11.16%,1.83%
QDII,159519,2023-08-23,国泰中证香港内地国有企业ETF（QDII）(159519),-2.41%,-13.39%,11.24%,2.47%
QDII,018523,2023-06-28,华泰紫金恒生互联网科技业指数型发起基金(QDII)(018523),-29.74%,-37.68%,11.30%,42.33%
QDII,011940,2021-04-16,大成全球美元债A美元,-8.20%,-18.66%,11.39%,8.93%
QDII,513170,2024-04-12,鹏华恒生中国央企ETF（QDII）(513170),-2.63%,-13.87%,11.55%,2.70%
QDII,513210,2024-04-12,易方达恒生ETF（QDII）(513210),-9.12%,-19.65%,11.59%,10.04%
QDII,513810,2023-08-21,华夏中证香港内地国有企业ETF（QDII）(513810),-2.41%,-13.78%,11.65%,2.47%
QDII,005243,2017-11-27,融通中国概念债券(QDII)(005243),-2.99%,-15.03%,12.41%,3.08%
QDII,050030,2013-02-01,博时亚洲票息收益债券(050030),-2.93%,-15.12%,12.56%,3.02%
QDII,024237,2025-05-13,博时纳斯达克100ETF发起式联接（QDII）I,0.00%,-13.27%,13.27%,0.00%
QDII,013363,2022-09-21,大成中国优势混合（QDII）(013363),-20.01%,-30.80%,13.49%,25.02%
QDII,021189,2024-05-23,南方亚太精选ETF联接（QDII）(021189),-0.52%,-14.25%,13.81%,0.52%
QDII,026228,2025-12-03,富国全球科技互联网股票（QDII）D,-0.47%,-14.37%,13.96%,0.48%
QDII,022681,2024-11-26,华泰柏瑞中韩半导体ETF发起式联接（QDII）I,-5.47%,-18.73%,14.03%,5.79%
QDII,000342,2013-11-26,嘉实新兴市场债券(000342),-9.26%,-21.99%,14.04%,10.20%
QDII,513730,2023-11-15,华泰柏瑞南方东英新交所泛东南亚科技ETF(QDII)(513730),-17.45%,-29.27%,14.31%,21.14%
QDII,159688,2023-01-17,华安恒生互联网科技业ETF（QDII）(159688),-30.32%,-40.32%,14.35%,43.52%
QDII,000369,2013-12-10,广发全球医疗保健指数（QDII）(000369),-9.51%,-22.63%,14.50%,10.51%
QDII,513400,2024-01-17,道琼斯ETF(513400),-1.59%,-15.92%,14.56%,1.62%
QDII,159687,2022-12-16,南方基金南方东英富时亚太低碳精选ETF(QDII)(159687),-0.53%,-15.30%,14.85%,0.53%
QDII,019670,2023-11-03,广发中证香港创新药ETF发起式联接（QDII）(019670),-25.39%,-36.51%,14.90%,34.03%
QDII,001061,2012-12-07,华夏收益债券（QDII）(001061),-2.35%,-17.07%,15.08%,2.41%
QDII,501300,2016-11-28,海富通美元债（QDII）(501300),-14.07%,-27.11%,15.18%,16.37%
QDII,018078,2023-05-30,南方恒生生物科技ETF发起联接（QDII）(018078),-25.71%,-37.33%,15.64%,34.61%
QDII,018336,2023-07-18,华夏恒生中国企业ETF发起式联接（QDII）(018336),-12.67%,-26.77%,16.14%,14.51%
QDII,022524,2024-11-01,天弘越南市场股票发起（QDII）D,-7.64%,-22.61%,16.21%,8.27%
QDII,513970,2023-04-12,景顺长城恒生消费ETF（QDII）(513970),-18.55%,-31.90%,16.39%,22.77%
QDII,018432,2023-05-11,嘉实恒生医疗保健ETF发起联接（QDII）(018432),-27.00%,-39.00%,16.43%,36.99%
QDII,018200,2023-04-11,嘉实恒生消费指数发起（QDII）(018200),-18.43%,-31.87%,16.47%,22.59%
QDII,159529,2024-01-24,景顺长城标普消费精选ETF(QDII)(159529),-1.62%,-18.28%,16.93%,1.65%
QDII,022523,2024-11-01,天弘标普500发起（QDII-FOF）D,0.00%,-16.99%,16.99%,0.00%
QDII,017641,2023-04-06,摩根标普500指数发起式(QDII)(017641),0.00%,-17.40%,17.40%,0.00%
QDII,013328,2021-11-23,嘉实全球价值股票（QDII）(013328),0.00%,-17.48%,17.48%,0.00%
QDII,000290,2013-10-22,鹏华全球高收益债(QDII)(000290),-37.15%,-48.22%,17.61%,59.10%
QDII,018738,2023-07-06,博时标普500ETF联接E,0.00%,-17.64%,17.64%,0.00%
QDII,018064,2023-05-10,华夏标普500ETF发起式联接（QDII）(018064),0.00%,-17.64%,17.64%,0.00%
QDII,513310,2022-11-02,华泰柏瑞中证韩交所中韩半导体ETF(QDII)(513310),-6.01%,-22.72%,17.78%,6.40%
QDII,017028,2022-11-02,国泰标普500ETF发起联接（QDII）(017028),0.00%,-17.90%,17.90%,0.00%
QDII,015282,2022-04-19,华安恒生科技ETF发起式联接（QDII）(015282),-26.47%,-39.84%,18.18%,36.00%
QDII,159655,2022-10-12,华夏标普500ETF（QDII）(159655),0.00%,-18.38%,18.38%,0.00%
QDII,007729,2020-01-19,招商普盛全球配置（QDII）(007729),-0.92%,-19.23%,18.48%,0.93%
QDII,020712,2024-02-08,华安三菱日联日经225ETF发起式联接（QDII）(020712),-3.27%,-21.17%,18.51%,3.38%
QDII,513650,2023-03-23,南方标普500ETF（QDII）(513650),0.00%,-18.56%,18.56%,0.00%
QDII,159612,2022-05-09,国泰标普500ETF(159612),0.00%,-18.58%,18.58%,0.00%
QDII,513140,2022-12-26,华泰柏瑞中证港股通金融服务ETF(QDII)(513140),-3.40%,-21.68%,18.92%,3.52%
QDII,019075,2023-11-17,嘉实全球产业精选混合发起式（QDII）(019075),-1.04%,-19.79%,18.94%,1.06%
QDII,018229,2023-11-03,易方达全球优质企业混合（QDII）(018229),-1.28%,-20.02%,18.97%,1.30%
QDII,013308,2022-04-29,易方达恒生科技ETF联接（QDII）(013308),-25.77%,-39.99%,19.15%,34.72%
QDII,519981,2011-03-30,长信标普100等权重指数（QDII）(519981),0.00%,-19.42%,19.42%,0.00%
QDII,012920,2022-01-11,易方达全球成长精选混合（QDII）(012920),-0.93%,-20.18%,19.43%,0.94%
QDII,017894,2023-03-14,汇添富纳斯达克生物科技ETF发起式联接（QDII）(017894),-2.93%,-22.08%,19.74%,3.01%
QDII,161126,2016-11-28,易方达标普医疗保健指数(QDII-LOF)(161126),-10.53%,-28.28%,19.85%,11.76%
QDII,023402,2025-02-18,广发全球精选股票（QDII）人民币F,-0.97%,-20.72%,19.94%,0.98%
QDII,320017,2011-09-23,诺安全球收益不动产（QDII）(320017),-17.48%,-33.98%,19.99%,21.19%
QDII,513290,2022-08-15,汇添富纳斯达克生物科技ETF(513290),-3.00%,-23.08%,20.71%,3.09%
QDII,006105,2019-01-30,宏利印度股票(QDII)(006105),-19.65%,-36.30%,20.72%,24.46%
QDII,019441,2023-09-27,万家纳斯达克100指数发起式（QDII）(019441),0.00%,-21.00%,21.00%,0.00%
QDII,019265,2023-10-26,南方港股数字经济混合发起（QDII）(019265),-3.53%,-23.89%,21.10%,3.66%
QDII,023422,2025-02-12,建信纳斯达克100指数（QDII）D人民币,0.00%,-21.19%,21.19%,0.00%
QDII,016055,2022-07-26,博时纳斯达克100ETF发起式联接（QDII）(016055),0.00%,-21.35%,21.35%,0.00%
QDII,018043,2023-04-11,天弘纳斯达克100指数发起（QDII）(018043),0.00%,-21.36%,21.36%,0.00%
QDII,019736,2024-03-28,宝盈纳斯达克100指数发起（QDII）(019736),0.00%,-21.37%,21.37%,0.00%
QDII,019172,2023-09-25,摩根纳斯达克100指数(QDII)(019172),0.00%,-21.44%,21.44%,0.00%
