2026-05-15,,,,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼
QDII,040046,2013-08-02,华安纳斯达克100ETF联接（QDII）(040046),0.00%,-31.24%,31.24%,0.00%
QDII,013171,2021-09-14,华夏恒生互联网科技业ETF发起式联接（QDII）(013171),-36.39%,-56.32%,31.33%,57.20%
QDII,012379,2021-06-30,创金合信港股互联网3个月持有期混合（QDII）(012379),-34.63%,-55.38%,31.74%,52.98%
QDII,262001,2011-09-22,景顺长城大中华混合（QDII）(262001),-15.20%,-42.11%,31.74%,17.92%
QDII,016970,2022-11-22,华夏恒生生物科技ETF发起式联接（QDII）(016970),-26.06%,-49.61%,31.84%,35.25%
QDII,004999,2017-12-11,长信全球债券（QDII）美元份额,-6.38%,-36.23%,31.89%,6.82%
QDII,008707,2020-01-10,建信富时100指数（QDII）A,-2.53%,-33.79%,32.07%,2.59%
QDII,006282,2018-10-31,摩根欧洲动力策略股票(QDII)(006282),-4.01%,-34.83%,32.11%,4.18%
QDII,096001,2011-03-23,大成标普500等权重指数QDII(096001),-1.13%,-32.94%,32.17%,1.14%
QDII,015204,2022-04-07,银华全球新能源车量化优选股票发起式（QDII）(015204),-0.57%,-32.65%,32.27%,0.57%
QDII,161125,2016-12-02,易方达标普500指数(QDII-LOF)(161125),0.00%,-32.93%,32.93%,0.00%
QDII,006445,2019-02-12,华夏全球聚享(QDII)(006445),-1.90%,-34.22%,32.95%,1.94%
QDII,513500,2013-12-05,博时标普500ETF(513500),0.00%,-32.95%,32.95%,0.00%
QDII,001092,2015-03-30,广发生物科技指数（QDII）(001092),-3.32%,-35.21%,32.98%,3.44%
QDII,513330,2021-01-26,华夏恒生互联网科技业ETF（QDII）(513330),-60.22%,-73.34%,32.99%,151.37%
QDII,513280,2022-07-05,汇添富恒生生物科技ETF(513280),-26.41%,-50.72%,33.03%,35.88%
QDII,100061,2012-09-04,富国中国中小盘混合（QDII）(100061),-6.57%,-37.49%,33.09%,7.03%
QDII,001984,2016-04-28,摩根中国生物医药混合(QDII)(001984),-50.20%,-66.78%,33.30%,100.82%
QDII,159615,2022-06-17,南方恒生生物科技ETF（QDII）(159615),-26.77%,-51.22%,33.38%,36.55%
QDII,006555,2019-01-29,浦银安盛全球智能科技（QDII）(006555),-0.98%,-34.38%,33.73%,0.99%
QDII,012208,2021-06-18,华夏港股前沿经济混合（QDII）(012208),-28.73%,-52.86%,33.85%,40.32%
QDII,012979,2021-09-09,大成恒生科技ETF发起式联接(012979),-25.68%,-50.88%,33.91%,34.55%
QDII,160719,2011-08-04,嘉实黄金（QDII-FOF-LOF）(160719),-13.68%,-42.98%,33.95%,15.84%
QDII,161124,2016-11-02,易方达香港恒生综合小型股指数(QDII-LOF)(161124),-28.76%,-53.05%,34.10%,40.37%
QDII,006373,2018-11-20,国富全球科技互联混合(QDII)(006373),-0.27%,-34.53%,34.36%,0.27%
QDII,013127,2021-10-26,汇添富恒生科技ETF联接发起式（QDII）(013127),-25.67%,-51.79%,35.14%,34.53%
QDII,013402,2021-09-28,华夏恒生科技ETF发起式联接（QDII）(013402),-26.32%,-52.44%,35.45%,35.72%
QDII,320013,2011-01-13,诺安全球黄金（QDII-FOF）(320013),-12.31%,-43.42%,35.47%,14.04%
QDII,002423,2016-03-18,华宝美国消费美元,-4.60%,-38.48%,35.51%,4.82%
QDII,002230,2016-01-20,华夏大中华混合（QDII）(002230),-42.60%,-63.25%,35.97%,74.22%
QDII,017429,2023-03-14,嘉实全球创新龙头股票（QDII）(017429),-18.51%,-47.88%,36.04%,22.71%
QDII,161116,2011-05-06,易方达黄金主题（QDII-LOF-FOF）(161116),-14.67%,-45.42%,36.04%,17.19%
QDII,012804,2021-08-11,广发恒生科技ETF联接（QDII）(012804),-27.09%,-53.78%,36.60%,37.16%
QDII,006308,2018-09-20,汇添富全球消费混合(QDII)(006308),-29.00%,-55.14%,36.81%,40.85%
QDII,164705,2014-03-06,汇添富恒生指数（QDII-LOF）(164705),-7.81%,-41.77%,36.84%,8.47%
QDII,008763,2020-01-20,天弘越南市场股票发起（QDII）(008763),-7.50%,-41.60%,36.87%,8.11%
QDII,012348,2021-07-06,天弘恒生科技ETF联接(012348),-33.08%,-57.84%,37.00%,49.43%
QDII,080006,2010-05-26,长盛环球行业混合(QDII)(080006),-26.55%,-53.76%,37.05%,36.14%
QDII,513030,2014-08-08,华安德国（DAX）ETF(513030),-6.62%,-41.44%,37.29%,7.09%
QDII,164906,2015-05-27,交银中证海外中国互联网指数（QDII-LOF）(164906),-58.55%,-74.38%,38.18%,141.27%
QDII,513130,2021-05-24,华泰柏瑞南方东英恒生科技指数ETF（QDII）(513130),-39.84%,-63.29%,38.99%,66.21%
QDII,164701,2011-08-31,汇添富黄金及贵金属（QDII-LOF-FOF）(164701),-16.85%,-49.40%,39.15%,20.26%
QDII,159740,2021-05-18,恒生科技(159740),-39.31%,-63.10%,39.19%,64.78%
QDII,460010,2010-12-02,华泰柏瑞亚洲领导企业混合(QDII)(460010),-47.51%,-68.12%,39.28%,90.50%
QDII,513580,2021-05-20,华安恒生科技ETF(513580),-38.72%,-62.86%,39.39%,63.18%
QDII,159741,2021-05-26,嘉实恒生科技ETF（QDII）(159741),-38.94%,-63.07%,39.51%,63.78%
QDII,011420,2021-03-03,广发全球科技三个月定开混合（QDII）(011420),-3.49%,-41.68%,39.57%,3.61%
QDII,539002,2011-06-21,建信新兴市场混合（QDII）(539002),-0.28%,-39.89%,39.72%,0.28%
QDII,378006,2011-01-30,摩根全球新兴市场混合(QDII)(378006),0.00%,-39.80%,39.80%,0.00%
QDII,513180,2021-05-18,华夏恒生科技ETF（QDII）(513180),-39.15%,-63.53%,40.06%,64.33%
QDII,159742,2021-05-17,博时恒生科技ETF(QDII)(159742),-38.52%,-63.16%,40.08%,62.66%
QDII,513060,2021-03-18,博时恒生医疗保健（QDII-ETF）(513060),-56.26%,-73.81%,40.13%,128.60%
QDII,012584,2021-08-10,南方中国新兴经济9个月持有期混合（QDII）(012584),-5.39%,-43.45%,40.23%,5.70%
QDII,159747,2021-07-02,南方中证香港科技ETF（QDII）(159747),-39.08%,-63.64%,40.32%,64.15%
QDII,159920,2012-08-09,华夏恒生ETF(159920),-8.66%,-45.60%,40.45%,9.48%
QDII,160140,2017-10-26,南方道琼斯美国精选REIT指数（QDII-LOF）(160140),-0.92%,-41.06%,40.51%,0.93%
QDII,161831,2014-04-09,银华恒生国企指数（QDII-LOF）(161831),-41.84%,-65.41%,40.53%,71.94%
QDII,513360,2021-06-08,博时全球中国教育(QDII-ETF)(513360),-51.38%,-71.16%,40.67%,105.70%
QDII,241001,2008-05-07,华宝海外中国混合(241001),-30.21%,-58.71%,40.84%,43.29%
QDII,513010,2021-05-18,易方达恒生科技ETF（QDII）(513010),-36.95%,-62.87%,41.10%,58.61%
QDII,000071,2012-08-21,华夏恒生ETF联接(000071),-8.76%,-46.41%,41.27%,9.60%
QDII,005613,2018-04-26,摩根富时发达市场REITs指数(QDII)(005613),-1.13%,-41.98%,41.31%,1.14%
QDII,110031,2012-08-21,易方达恒生国企ETF联接(QDII)(110031),-19.79%,-53.02%,41.43%,24.68%
QDII,160924,2017-08-10,大成恒生指数(QDII-LOF)(160924),-8.92%,-46.77%,41.56%,9.80%
QDII,000988,2015-04-15,嘉实全球互联网股票型证券投资基金-人民币,-8.57%,-46.59%,41.58%,9.37%
QDII,007455,2019-08-02,富国蓝筹精选股票(QDII)(007455),-7.19%,-45.88%,41.69%,7.74%
QDII,510900,2012-08-09,易方达恒生国企(QDII-ETF)(510900),-19.88%,-53.43%,41.88%,24.81%
QDII,001668,2017-01-25,汇添富全球移动互联混合（QDII）(001668),0.00%,-42.04%,42.04%,0.00%
QDII,009108,2020-04-23,富国红利精选混合（QDII）(009108),-3.39%,-44.04%,42.08%,3.51%
QDII,006327,2019-01-18,易方达中证海外中国互联网50ETF联接(QDII)(006327),-50.12%,-71.34%,42.55%,100.48%
QDII,160717,2010-09-30,嘉实H股指数（QDII-LOF）(160717),-26.37%,-57.73%,42.59%,35.81%
QDII,040021,2011-05-17,华安大中华升级股票（QDII）(040021),-0.52%,-42.92%,42.62%,0.52%
QDII,159850,2021-02-01,华夏恒生中国企业ETF（QDII）(159850),-18.04%,-53.66%,43.46%,22.01%
QDII,040018,2010-09-19,华安香港精选股票(QDII)(040018),-1.11%,-44.66%,44.04%,1.12%
QDII,513050,2017-01-04,易方达中证海外中国互联网50(QDII-ETF)(513050),-52.13%,-73.37%,44.36%,108.92%
QDII,457001,2012-02-22,国富亚洲机会股票（QDII）(457001),-0.47%,-44.71%,44.45%,0.47%
QDII,009225,2020-05-27,天弘中证中美互联网(009225),-16.04%,-53.38%,44.47%,19.11%
QDII,539003,2012-06-26,建信富时100指数（QDII）(539003),-3.60%,-46.83%,44.84%,3.74%
QDII,519601,2008-06-27,海富通中国海外混合(QDII)(519601),-20.44%,-56.60%,45.46%,25.68%
QDII,161620,2013-02-05,融通核心价值混合（QDII）(161620),-8.68%,-50.35%,45.64%,9.50%
QDII,000934,2015-02-03,国富大中华精选混合（QDII）(000934),-1.14%,-46.64%,46.02%,1.15%
QDII,159892,2021-09-29,华夏恒生生物科技ETF（QDII）(159892),-29.50%,-62.39%,46.65%,41.84%
QDII,100055,2011-07-13,富国全球科技互联网股票（QDII）(100055),-0.47%,-46.94%,46.69%,0.47%
QDII,000989,2015-04-15,嘉实全球互联网股票型证券投资基金-美元,-10.07%,-52.19%,46.83%,11.20%
QDII,070012,2007-10-12,嘉实海外中国股票混合(QDII)(070012),-34.50%,-66.10%,48.24%,52.68%
QDII,050015,2010-07-27,博时大中华亚太精选股票(QDII)(050015),-17.10%,-57.14%,48.29%,20.63%
QDII,002379,2016-03-09,工银香港中小盘(002379),-20.92%,-59.15%,48.34%,26.46%
QDII,270023,2010-08-18,广发全球精选股票（QDII）(270023),-0.91%,-49.02%,48.55%,0.92%
QDII,005699,2018-05-10,工银新经济混合(005699),-6.93%,-52.44%,48.90%,7.44%
QDII,202801,2007-09-19,南方全球精选配置股票（QDII-FOF）(202801),-12.87%,-56.02%,49.52%,14.77%
QDII,160416,2012-03-29,华安标普全球石油指数（LOF）(160416),-5.43%,-52.32%,49.59%,5.74%
QDII,161127,2016-12-13,易方达标普生物科技指数(QDII-LOF)(161127),-19.74%,-60.00%,50.16%,24.60%
QDII,010644,2020-12-24,富国全球健康生活主题混合（QDII）(010644),-15.08%,-57.84%,50.35%,17.76%
QDII,160125,2011-09-26,南方香港优选股票（QDII-LOF）(160125),-6.21%,-53.88%,50.83%,6.63%
QDII,008253,2019-11-27,华宝致远混合(008253),-0.70%,-51.56%,51.22%,0.71%
QDII,150176,2014-04-09,恒中企B,-43.70%,-72.74%,51.59%,77.62%
QDII,160644,2017-11-16,鹏华港美互联股票(LOF)(160644),-0.69%,-52.14%,51.81%,0.69%
QDII,050020,2011-04-25,博时抗通胀增强回报(050020),-31.24%,-67.37%,52.54%,45.43%
QDII,163813,2011-03-03,中银全球策略（QDII-FOF）(163813),-0.07%,-52.62%,52.58%,0.07%
QDII,008284,2020-01-20,易方达全球医药行业混合(QDII)(008284),-35.22%,-69.42%,52.80%,54.36%
QDII,470888,2010-06-25,汇添富香港优势精选混合（QDII）(470888),-21.06%,-63.26%,53.46%,26.68%
QDII,486001,2008-02-14,工银全球股票(QDII)(486001),-1.93%,-54.58%,53.69%,1.97%
QDII,005698,2018-04-17,华夏全球科技先锋混合(QDII)(005698),-0.27%,-54.28%,54.15%,0.27%
QDII,118001,2010-01-21,易方达亚洲精选股票(QDII)(118001),-4.99%,-57.06%,54.80%,5.26%
QDII,003243,2016-11-11,摩根中国世纪混合(QDII)(003243),-10.02%,-60.62%,56.23%,11.13%
QDII,000041,2007-10-09,华夏全球股票(QDII)(000041),-5.71%,-59.31%,56.85%,6.05%
QDII,012535,2021-09-22,万家全球成长一年持有期混合（QDII）(012535),-8.78%,-61.38%,57.66%,9.63%
QDII,001691,2015-09-30,南方香港成长灵活配置混合(001691),-8.51%,-61.27%,57.66%,9.30%
QDII,005534,2018-05-30,华夏新时代混合(QDII)(005534),-5.87%,-61.75%,59.36%,6.24%
QDII,002891,2016-12-14,华夏移动互联混合（QDII）(002891),-12.54%,-66.11%,61.25%,14.34%
QDII,162719,2017-02-28,广发道琼斯石油指数（QDII-LOF）(162719),-10.13%,-65.70%,61.83%,11.27%
QDII,378546,2012-03-26,摩根全球天然资源混合(QDII)(378546),-4.08%,-64.57%,63.07%,4.25%
QDII,377016,2007-10-22,摩根亚太优势混合(QDII)(377016),-0.77%,-67.99%,67.74%,0.78%
QDII,161815,2010-12-06,银华抗通胀主题（QDII-FOF-LOF）(161815),-4.21%,-69.43%,68.08%,4.40%
QDII,163208,2011-09-27,诺安油气能源（QDII-FOF-LOF）(163208),-6.11%,-70.26%,68.33%,6.51%
QDII,160723,2017-04-20,嘉实原油（QDII-LOF）(160723),-3.62%,-74.40%,73.44%,3.76%
QDII,501018,2016-06-15,南方原油（QDII-FOF-LOF）(501018),-3.09%,-76.49%,75.74%,3.19%
QDII,161129,2016-12-19,易方达原油(QDII-LOF-FOF)(161129),-2.77%,-76.54%,75.87%,2.85%
QDII,001481,2015-06-17,华宝油气美元,-9.95%,-80.66%,78.53%,11.04%
QDII,165513,2011-12-20,中信保诚全球商品主题（QDII-FOF-LOF）(165513),-13.73%,-81.74%,78.83%,15.92%
QDII,160216,2012-05-03,国泰大宗商品（QDII-LOF）(160216),-27.26%,-86.00%,80.75%,37.47%
QDII,162411,2011-09-29,华宝油气(162411),-33.09%,-87.61%,81.48%,49.46%
