A股,931397,2020-02-20,A股通50,3157.74
A股,931402,2020-01-14,证券先锋,2307.57
A股,931403,2020-01-14,品牌工程,2624.1119
A股,931404,2020-02-20,SHS品牌消费50,4717
A股,931406,2026-04-22,5G 50,2707.18
A股,931409,2020-02-20,SHS创新药,3764.0408
A股,931442,2020-04-21,SHS科技100,11880.4601
A股,931446,2020-04-21,东证红利低波,3618.19
A股,931447,2020-04-21,科技先锋,4163.73
A股,931454,2020-03-06,港股通消费,2509.09
A股,931456,2020-04-21,中国教育,4070.57
A股,931461,2026-04-22,电子50,6722.36
A股,931468,2020-05-21,红利质量,36063.9967
A股,931469,2020-06-12,云计算50,3540.45
A股,931476,2020-04-30,ESG 120策略,1663.5274
A股,931480,2020-05-06,线上消费,1346.42
A股,931481,2020-05-06,SHS线上消费,1845.22
A股,931484,2020-05-06,CS医药创新,4665.21
A股,931487,2020-05-06,SHS人工智能50,2673.3
A股,931494,2026-04-22,消费电子,5802.61
A股,931521,2020-07-08,高装细分50,3891.84
A股,931524,2020-07-16,SHS科技龙头,3407.6724
A股,931526,2020-08-24,企业核心竞争力50,1961.4
A股,931573,2014-05-21,HKC科技,5756.21
A股,931574,2013-05-21,港股科技,3679.66
A股,931579,2020-11-09,东证优势成长,7599.62
A股,931582,2020-11-09,数字经济,1848.45
A股,931586,2020-11-09,300价值稳健,7811.21
A股,931587,2026-03-02,500价值稳健,24294.21
A股,931588,2026-02-27,1000价值稳健,39267.19
A股,931590,2020-11-09,500成长创新,29957.3972
A股,931591,2026-01-23,1000成长创新,37126.66
A股,931637,2021-01-11,HKC互联网,1417.8955
A股,931643,2026-04-22,科创创业50,2330.59
A股,931644,2024-03-15,800红利,2600.81
A股,931645,2024-03-15,1000红利,2506.1
A股,931663,2015-03-13,SHS消费龙头,4243.5
A股,931672,2021-04-29,风电产业,2597.53
A股,931688,2022-07-21,中证算力,2993.39
A股,931697,2021-07-12,消费50策略,10859.25
A股,931718,2021-08-25,高端造质量成长50,3319.43
A股,931719,2013-07-15,CS电池,6338.2801
A股,931722,2023-09-13,国新港股通央企红利,1339.1548
A股,931733,2021-08-19,绿色能源,7917.59
A股,931743,2012-12-21,半导体材料设备,4297.67
A股,931746,2015-06-11,储能产业,5767.4049
A股,931747,2021-10-15,中证储能,9778.7
A股,931752,2021-09-27,工程机械主题,2360.06
A股,931755,2021-10-21,SEEE碳中和,2367.68
A股,931775,2013-07-15,房地产,8652.39
A股,931787,2018-08-14,港股创新药,2021.74
A股,931798,2009-06-16,光伏龙头30,4351.26
A股,931802,2010-02-09,中证龙头,2718.63
A股,931829,2023-10-17,中证回购,2283.47
A股,931845,2012-04-11,生猪产业,6571.429
A股,931848,2024-05-21,800红利低波,3296.57
A股,931865,2026-01-16,中证半导,6097.5
A股,931866,2026-03-11,中证机床,2308.69
A股,931892,2013-07-15,有色矿业,3466.55
A股,931897,2012-12-21,绿色电力,1256.39
A股,931992,2013-07-15,疫苗生物,2211.43
A股,932000,2026-02-27,中证2000,3630.83
A股,932037,2022-11-16,央企现代能源,1438.99
A股,932038,2022-11-16,央企科技引领,1567.19
A股,932039,2026-03-03,央企股东回报,1812.51
A股,932305,2024-09-30,智选高股息,11063.73
A股,932315,2024-07-08,中证红利质量,4347.54
A股,932365,2024-12-11,中证现金流,4974.73
A股,932366,2024-11-12,300现金流,3158.29
