899050,"广发北证50成份指数A(017512), 嘉实北证50成份指数A(017527), 华夏北证50成份指数A(017525), 富国北证50成份指数A(017521), 招商北证50成份指数发起式A(017517), 南方北证50成份指数发起A(017523), 汇添富北证50成份指数A(017519), 易方达北证50成份指数A(017515), 富国北证50成份指数C(017522), 南方北证50成份指数发起C(017524), 招商北证50成份指数发起式C(017518), 嘉实北证50成份指数C(017528), 易方达北证50成份指数C(017516), 汇添富北证50成份指数C(017520), 华夏北证50成份指数C(017526), 广发北证50成份指数C(017513), 博时北证50成份指数发起式A(018128), 鹏扬北证50成份指数A(018114), 万家北证50成份指数发起式A(018120), 工银北证50成份指数A(018112), 工银北证50成份指数C(018113), 鹏扬北证50成份指数C(018115), 博时北证50成份指数发起式C(018129), 万家北证50成份指数发起式C(018121), 创金合信北证50成份指数增强A(019993), 创金合信北证50成份指数增强C(019994), 中欧北证50成份指数发起A(021298), 东财北证50指数发起式A(020828), 中欧北证50成份指数发起C(021299), 东财北证50指数发起式C(020829), 华安北证50成份指数发起式A(021172), 国泰北证50成份指数发起A(021101), 华安北证50成份指数发起式C(021173), 天弘北证50成份指数发起A(021161), 招商资管北证50成份指数发起A(021690), 鹏华北证50成份指数发起式A(021687), 长盛北证50成份指数增强A(021765), 天弘北证50成份指数发起C(021162), 招商资管北证50成份指数发起C(021691), 长盛北证50成份指数增强C(021766), 鹏华北证50成份指数发起式C(021688), 国泰北证50成份指数发起C(021102), 前海开源北证50成份指数发起A(023441), 宝盈北证50成份指数发起式A(023395), 宝盈北证50成份指数发起式C(023396), 前海开源北证50成份指数发起C(023442), 永赢北证50成份指数发起A(023886), 华泰柏瑞北证50成份指数A(023659), 永赢北证50成份指数发起C(023887), 华泰柏瑞北证50成份指数I(023661), 华泰柏瑞北证50成份指数C(023660), 大成北证50成份指数发起式A(024161), 大成北证50成份指数发起式C(024162), 浦银安盛北证50成份指数A(024743), 建信北证50成份指数发起A(024828), 浦银安盛北证50成份指数C(024744), 建信北证50成份指数发起C(024829)"
000171,"华夏战略新兴成指ETF(512770), 华夏战略新兴成指ETF联接C(006910), 华夏战略新兴成指ETF联接A(006909)"
000816,
000818,
000842,
000859,"易方达中证国企一带一路ETF(515110), 富国中证国企一带一路ETF(515150), 添富中证国企一带一路ETF(515990), 富国中证国企一带一路ETF联接A(007786), 富国中证国企一带一路ETF联接C(007787), 汇添富中证国企一带一路ETF联接A(008907), 汇添富中证国企一带一路ETF联接C(008908), 易方达中证国企一带一路ETF联接发起式C(007789), 易方达中证国企一带一路ETF联接A(007788)"
000861,"博时央创ETF联接A(007796), 博时央创ETF联接C(007797), 富国中证央企创新驱动ETF联接A(007809), 广发中证央企创新驱动ETF(515600), 广发央企创新驱动ETF联接A(007784), 富国中证央企创新驱动ETF(159974), 嘉实央企创新驱动ETF(515680), 博时央企创新ETF(515900), 广发央企创新驱动ETF联接C(007785), 嘉实央企创新驱动ETF联接A(007792), 嘉实央企创新驱动ETF联接C(007793), 富国中证央企创新驱动ETF联接C(007810)"
000955,
000958,
000962,
000963,
000968,
