2024/10/25,stockCode,publishDate,stockName,style,Current drawdown,Largest drawdown,fall_to_lowest_drawdown,funds
A股,399995,2015/3/12,基建工程,价值,-63.29%,-72.33%,-24.63%,"广发中证基建工程ETF联接A(005223), 广发中证基建工程ETF联接C(005224), 中信保诚中证基建工程指数(LOF)C(013082), 博时中证基建工程指数发起式A(020323), 博时中证基建工程指数发起式C(020324), 广发中证基建工程ETF(516970), 中信保诚中证基建工程指数(LOF)A(165525)"
港股,HSSI,2001/10/3,恒生综合小型股指数,价值,-62.57%,-69.39%,-18.22%,"易方达香港恒生综合小型股指数（QDII-LOF）C(006263), 易方达香港恒生综合小型股指数（QDII-LOF）A(161124)"
A股,930719,2015/8/5,CS精准医,成长,-62.47%,-71.59%,-24.30%,"汇添富中证精准医疗指数（LOF）A(501005), 汇添富中证精准医疗指数（LOF）C(501006)"
A股,H11136,2011/9/20,中国互联网,成长,-62.42%,-78.81%,-43.61%,"交银中证海外中国互联网指数(LOF)C(013945), 交银中证海外中国互联网指数(LOF)A(164906)"
A股,931574,2013/5/21,港股科技,成长,-62.38%,-74.74%,-32.85%,"招商中证香港科技ETF发起式联接（QDII）A(021633), 招商中证香港科技ETF发起式联接（QDII）C(021634), 南方中证香港科技ETF（QDII）(159747), 招商中证香港科技ETF（QDII）(159750)"
A股,930901,2016/10/18,动漫游戏,成长,-62.19%,-75.11%,-34.17%,"国泰中证动漫游戏ETF联接A(012728), 国泰中证动漫游戏ETF联接C(012729), 华夏中证动漫游戏ETF发起式联接A(012768), 华夏中证动漫游戏ETF发起式联接C(012769), 国泰中证动漫游戏ETF(516010), 游戏动漫(516770), 华夏中证动漫游戏ETF(159869)"
A股,399804,2015/2/9,中证体育,成长,-61.49%,-72.57%,-28.77%,"富国中证体育产业指数C(013278), 富国中证体育产业指数A(161030)"
A股,930726,2015/8/5,CS生医,成长,-61.15%,-68.60%,-19.18%,"国泰中证生物医药ETF联接A(006756), 国泰中证生物医药ETF联接C(006757), 国泰中证生物医药ETF(512290)"
A股,399993,2015/5/8,CSWD生科,成长,-61.14%,-70.43%,-23.91%,"易方达中证万得生物科技指数（LOF）C(010572), 易方达中证万得生物科技指数（LOF）A(161122)"
A股,852,2014/10/17,中证1000,宽基,-60.18%,-72.35%,-30.56%,"创金合信中证1000增强A(003646), 创金合信中证1000增强C(003647), 招商中证1000指数增强A(004194), 招商中证1000指数增强C(004195), 万家中证1000指数增强A(005313), 万家中证1000指数增强C(005314), 建信中证1000指数增强A(006165), 建信中证1000指数增强C(006166), 广发中证1000ETF联接A(006486), 广发中证1000ETF联接C(006487), 南方中证1000ETF发起联接A(011860), 南方中证1000ETF发起联接C(011861), 富国中证1000指数增强（LOF）C(013331), 建信中证1000指数增强发起E(013442), 华夏中证1000ETF发起式联接A(013922), 华夏中证1000ETF发起式联接C(013923), 华夏中证1000指数增强A(014125), 华夏中证1000指数增强C(014126), 天弘中证1000指数增强A(014201), 天弘中证1000指数增强C(014202), 兴银中证1000指数增强A(014831), 兴银中证1000指数增强C(014832), 华安中证1000指数增强A(015148), 华安中证1000指数增强C(015149), 太平中证1000指数增强A(015466), 太平中证1000指数增强C(015467), 景顺长城中证1000指数增强A(015495), 景顺长城中证1000指数增强C(015496), 中信建投中证1000指数增强A(015784), 中信建投中证1000指数增强C(015785), 国泰君安中证1000指数增强A(015867), 国泰君安中证1000指数增强C(015868), 华宝中证1000指数C(016033), 易方达中证1000ETF联接A(016630), 易方达中证1000ETF联接C(016631), 富国中证1000ETF联接A(016633), 富国中证1000ETF联接C(016634), 南方中证1000ETF发起联接E(016643), 嘉实中证1000指数增强发起式A(016776), 嘉实中证1000指数增强发起式C(016777), 鹏华中证1000指数增强A(016785), 鹏华中证1000指数增强C(016786), 博时中证1000指数增强A(016936), 博时中证1000指数增强C(016937), 工银中证1000指数增强A(016942), 工银中证1000指数增强C(016943), 国联安中证1000指数增强A(016962), 国联安中证 1000 指数增强C(016963), 申万菱信中证1000指数增强A(017067), 申万菱信中证1000指数增强C(017068), 易方达中证1000量化增强A(017094), 易方达中证1000量化增强C(017095), 汇添富中证1000ETF联接A(017161), 汇添富中证1000ETF联接C(017162), 鑫元中证1000指数增强发起式A(017190), 鑫元中证1000指数增强发起式C(017191), 农银中证1000指数增强A(017323), 农银中证1000指数增强C(017324), 明亚中证1000指数增强A(017505), 明亚中证1000指数增强C(017506), 博道中证1000指数增强A(017644), 博道中证1000指数增强C(017645), 中金中证1000指数增强发起A(017733), 中金中证1000指数增强发起C(017734), 国金中证1000指数增强A(017846), 国金中证1000指数增强C(017847), 中欧中证1000指数增强A(017919), 中欧中证1000指数增强C(017920), 汇添富中证1000指数增强A(017953), 汇添富中证1000指数增强C(017954), 长信中证1000指数增强A(018013), 长信中证1000指数增强C(018014), 华泰紫金中证1000指数增强发起A(018062), 华泰紫金中证1000指数增强发起C(018063), 西部利得中证1000指数增强A(018157), 西部利得中证1000指数增强C(018158), 浙商中证1000指数增强A(018233), 浙商中证1000指数增强C(018234), 大成中证1000指数增强发起式A(018661), 大成中证1000指数增强发起式C(018662), 泰康中证1000指数增强发起A(019185), 泰康中证1000指数增强发起C(019186), 华泰柏瑞中证1000指数增强A(019240), 华泰柏瑞中证1000指数增强C(019241), 财通中证1000指数增强A(019270), 财通中证1000指数增强C(019271), 财通资管中证1000指数增强A(019402), 财通资管中证1000指数增强C(019403), 中银中证1000指数增强A(019555), 中银中证1000指数增强C(019556), 华宝中证1000指数(162413), 南方中证1000ETF(512100), 中证1000(516300), 广发中证1000ETF(560010), 汇添富中证1000ETF(560110), 1000ETF增强(560590), 中证1000ETF增强(561280), 1000增强(561590), 博时中证1000增强ETF(561780), 富国中证1000ETF(159629), 易方达中证1000ETF(159633), 1000增强ETF(159677), 国泰中证1000增强策略ETF(159679), 招商中证1000增强策略ETF(159680), 天弘中证1000增强策略ETF(159685), 华夏中证1000ETF(159845), 富国中证1000指数增强（LOF）A(161039)"
A股,931787,2018/8/14,港股创新药,成长,-59.71%,-71.36%,-28.92%,"广发中证香港创新药ETF发起式联接（QDII）A(019670), 广发中证香港创新药ETF发起式联接（QDII）C(019671), 广发中证香港创新药（QDII-ETF）(513120)"
A股,930743,2015/8/26,中证生科,成长,-59.14%,-67.62%,-20.75%,"华夏中证生物科技主题ETF发起式联接A(017604), 华夏中证生物科技主题ETF发起式联接C(017605), 易方达中证生物科技主题ETF联接发起式A(019324), 易方达中证生物科技主题ETF联接发起式C(019325), 汇添富中证生物科技指数（LOF）A(501009), 汇添富中证生物科技指数（LOF）C(501010), 华夏中证生物科技主题ETF(516500), 生物科技ETF基金(516930), 易方达中证生物科技主题ETF(159837), 招商中证生物科技主题ETF(159849)"
A股,399994,2015/3/12,信息安全,成长,-59.04%,-71.98%,-31.59%,"中信保诚中证信息安全指数（LOF）C(013083), 中信保诚中证信息安全指数（LOF）A(165523), 易方达中证信息安全主题ETF(562920), 嘉实中证信息安全主题ETF(159613)"
A股,399807,2015/1/20,高铁产业,价值,-58.92%,-67.14%,-20.01%,"鹏华中证高铁产业指数(LOF)C(015678), 南方中证高铁产业指数（LOF）(160135), 鹏华中证高铁产业指数(LOF)A(160639)"
A股,931798,2009/6/16,光伏龙头30,成长,-58.63%,-70.94%,-29.76%,广发中证光伏龙头30ETF(560980)
