2023-06-16,,,,style,position,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼,pe,pe10pos,pe to lowest,pb,pb10pos,pb to lowest,roe,roe/pe,div,funds
A股,980032,2015-02-16,新能电池,成长,,-43.52%,-46.63%,5.51%,77.05%,2.4e+01,5.59%,8.61%,4.5,4.61%,7.51%,18.75%,0.79,0.74%,"广发国证新能源车电池ETF发起联接A(013179), 广发国证新能源车电池ETF发起联接C(013180), 景顺长城国证新能源车电池ETF联接A(015871), 工银国证新能源车电池ETF发起式联接A(015873), 万家国证新能源车电池指数发起式(018379), 广发国证新能源车电池ETF(159755), 景顺长城国证新能电池ETF(159757), 兴银国证新能源车电池ETF(159767), 建信国证新能源车电池ETF(159775), 锂电池ETF(159840)"
A股,H30178,2013-07-14,医疗保健,成长,,-47.09%,-50.02%,5.54%,89.00%,3.3e+01,15.60%,39.78%,4.4,2.15%,9.13%,13.33%,0.41,1.38%,"天弘中证全指医疗保健设备与服务ETF发起式联接A(012326), 天弘中证全指医疗保健设备与服务ETF发起式联接C(012327), 医服ETF(516610), 保健ETF(516790), 医疗设备ETF(159873), 南方中证全指医疗保健设备与服务ETF(159877), 建信中证全指医疗保健设备与服务ETF(159891)"
A股,931152,2019-04-21,CS创新药,成长,,-47.56%,-50.50%,5.61%,90.69%,4.3e+01,53.02%,35.13%,3.6,7.04%,12.12%,8.37%,0.2,0.96%,"广发创新药ETF联接A(012737), 广发创新药ETF联接C(012738), 银华中证创新药产业ETF发起式联接A(012781), 银华中证创新药产业ETF发起式联接C(012782), 工银中证创新药产业ETF发起式联接A(013011), 工银中证创新药产业ETF发起式联接C(013012), 广发创新药ETF(515120), 新药ETF(516060), 易方达中证创新药产业ETF(516080), 摩根中证创新药产业ETF(560900), 建信中证创新药产业ETF (159835), 南方中证创新药产业ETF(159858), 创新药(159992)"
A股,000171,2017-01-24,新兴成指,成长,*,-46.23%,-49.25%,5.62%,85.98%,1.9e+01,8.70%,22.21%,3.5,13.14%,24.67%,18.42%,0.95,1.81%,"华夏战略新兴成指ETF联接A(006909), 华夏战略新兴成指ETF联接C(006910), 华夏战略新兴成指ETF(512770)"
A股,000913,2007-07-01,300医药,成长,,-51.03%,-53.93%,5.92%,104.21%,3e+01,18.72%,21.88%,4.5,26.89%,25.48%,15.00%,0.5,1.02%,"易方达沪深300医药ETF联接A(001344), 易方达沪深300医药ETF联接C(007883), 易方达沪深300医药ETF(512010)"
A股,000918,2008-01-20,300成长,成长,*,-45.45%,-48.87%,6.27%,83.32%,1.5e+01,49.38%,50.09%,2.8,57.43%,53.42%,18.67%,1.2,2.50%,"万家沪深300成长ETF发起式联接A(017996), 300成长(562310), 万家沪深300成长ETF（场内简称：300成长ETF）(159656)"
A股,399393,2012-08-19,国证地产,价值,,-44.77%,-48.35%,6.48%,81.06%,4.1e+01,93.19%,84.40%,0.91,3.61%,12.78%,2.22%,0.055,2.22%,"国泰国证房地产行业指数C(015042), 国泰国证房地产行业指数A(160218)"
A股,931142,2019-03-19,东证竞争,价值,,-33.87%,-38.31%,6.71%,51.22%,1.3e+01,46.36%,23.35%,1.8,40.25%,13.67%,13.85%,1.1,3.23%,"东方红中证竞争力指数A(007657), 东方红中证竞争力指数C(007658)"
A股,931166,2019-04-24,医药健康100,成长,,-46.03%,-49.71%,6.82%,85.29%,2.5e+01,28.43%,29.67%,4.2,14.41%,15.23%,16.80%,0.67,1.37%,"嘉实医药健康100ETF联接A(008154), 嘉实医药健康100ETF联接C(008155), 嘉实医药健康100ETF(515960)"
A股,399293,2019-04-17,创业大盘,成长,,-41.40%,-45.52%,7.03%,70.65%,3.2e+01,3.80%,13.38%,5.4,4.31%,11.29%,16.88%,0.52,0.73%,"西部利得创业板大盘ETF联接A(012554), 西部利得创业板大盘ETF联接C(012555), 招商创业板大盘ETF联接(012961), 西部利得创业板大盘ETF(159814), 招商创业板大盘ETF(159991)"
A股,H30217,2013-07-14,医疗器械,成长,,-44.77%,-48.89%,7.46%,81.06%,2.8e+01,15.27%,39.34%,4.0,4.06%,18.69%,14.29%,0.51,1.62%,"永赢中证全指医疗器械ETF发起联接A(013415), 永赢中证全指医疗器械ETF发起联接C(013416), 汇添富中证全指医疗器械ETF发起式联接A(017632), 汇添富中证全指医疗器械ETF(159797), 医疗器械ETF(159883), 招商中证全指医疗器械ETF(159898)"
A股,931643,2021-05-31,科创创业50,成长,,-42.67%,-47.04%,7.62%,74.43%,3.3e+01,3.62%,4.81%,4.8,5.84%,6.13%,14.55%,0.44,0.76%,"天弘中证科创创业50ETF联接A(012894), 天弘中证科创创业50ETF联接C(012895), 兴银中证科创创业50指数A(012898), 兴银中证科创创业50指数C(012899), 鹏扬中证科创创业50ETF联接A(012907), 鹏扬中证科创创业50ETF联接C(012908), 南方中证科创创业50ETF联接A(013298), 南方中证科创创业50ETF联接C(013299), 招商中证科创创业50ETF联接A(013302), 招商中证科创创业50ETF联接C(013303), 易方达中证科创创业50联接A(013304), 易方达中证科创创业50联接C(013305), 国泰中证科创创业50ETF发起联接A(013306), 国泰中证科创创业50ETF发起联接C(013307), 华夏科创创业50ETF发起式联接A(013310), 华夏科创创业50ETF发起式联接C(013311), 富国中证科创创业50ETF联接A(013313), 富国中证科创创业50ETF联接C(013314), 嘉实中证科创创业50ETF发起联接A(013315), 嘉实中证科创创业50ETF发起联接C(013316), 华宝中证科创创业50ETF发起式联接A(013317), 华宝中证科创创业50ETF发起式联接C(013318), 博时中证科创创业50ETF发起式联接A(014099), 博时中证科创创业50ETF发起式联接C(014100), 汇添富中证科创创业50指数增强发起式A(014218), 华富中证科创创业50指数增强A(016122), 易米中证科创创业50指数增强发起A(016392), 长信中证科创创业50指数增强A(016729), 创金合信中证科创创业50指数增强A(017412), 招商中证科创创业50ETF(588300), 方正富邦科创创业50ETF(588310), 广发中证科创创业50增强策略ETF(588320), 双创龙头(588330), 鹏扬中证科创创业50ETF(588350), 国泰中证科创创业50ETF(588360), 富国中证科创创业50ETF(588380), 博时中证科创创业50ETF(588390), 嘉实中证科创创业50ETF(588400), 双创龙头ETF(159603), 南方中证科创创业50ETF(159780), 易方达中证科创创业50ETF(159781), 双创50(159782), 华夏中证科创创业50ETF(159783)"
A股,399394,2012-10-28,国证医药,成长,,-47.22%,-51.38%,7.88%,89.47%,3.1e+01,13.79%,25.04%,4.1,10.30%,23.32%,13.23%,0.43,1.20%,"国泰国证医药卫生行业指数C(010144), 国泰国证医药卫生行业指数A(160219)"
A股,000814,2012-04-10,细分医药,成长,,-46.77%,-51.21%,8.34%,87.86%,2.7e+01,5.95%,18.51%,3.5,3.74%,13.27%,12.96%,0.47,1.22%,"华安中证细分医药ETF联接A(000373), 华安中证细分医药ETF联接C(000376), 华安中证细分医药ETF(512120)"
A股,931009,2013-07-14,建筑材料,周期,,-37.37%,-42.62%,8.38%,59.67%,2.3e+01,95.56%,64.76%,1.3,3.42%,11.74%,5.65%,0.25,2.39%,"广发中证全指建筑材料指数A(004856), 广发中证全指建筑材料指数C(004857), 国泰中证全指建筑材料ETF发起联接A(013019), 国泰中证全指建筑材料ETF发起联接C(013020), 富国中证全指建筑材料ETF(516750), 国泰中证全指建筑材料ETF(159745), 易方达中证全指建筑材料ETF(159787)"
A股,000808,2012-02-16,医药生物,成长,,-45.65%,-50.24%,8.45%,83.99%,2.9e+01,15.19%,20.29%,3.7,6.53%,16.24%,12.76%,0.43,1.25%,申万菱信中证申万医药生物指数A(163118)
A股,399364,2009-08-02,消费100,成长,,-40.91%,-46.05%,8.70%,69.23%,2.9e+01,70.88%,53.77%,4.1,71.78%,39.78%,14.14%,0.49,1.40%,"天弘国证消费100指数增强A(010771), 天弘国证消费100指数增强C(010772), 易米国证消费100指数增强发起A(013926), 易米国证消费100指数增强发起C(013927)"
A股,000813,2012-04-10,细分化工,成长,,-45.95%,-50.66%,8.71%,85.01%,1.9e+01,35.39%,40.46%,2.5,38.22%,34.22%,13.16%,0.69,1.72%,"华宝化工ETF联接A(012537), 华宝化工ETF联接C(012538), 国泰中证细分化工产业主题ETF联接A(012730), 国泰中证细分化工产业主题ETF联接C(012731), 嘉实中证细分化工产业主题指数发起式A(013527), 鹏华中证细分化工产业主题ETF联接A(014942), 汇添富中证细分化工产业主题指数增强发起式A(015225), 华泰紫金中证细分化工产业主题指数发起A(015328), 天弘中证细分化工指数发起A(015896), 化工ETF(516020), 富国中证细分化工产业主题ETF(516120), 国泰中证细分化工产业主题ETF(516220), 化工产业(516690), 化工ETF(159870)"
