2026-01-07,stockCode,publishDate,stockName,style,hasPosition,Current drawdown,Largest drawdown,fall_to_lowest_drawdown,pe,pe10pos,pb,pb10pos,roe,div,funds
A股,930608,2015-03-31,中证基建,价值,,-20.97%,-43.35%,-28.32%,1e+01,39.54%,0.83,19.98%,8.30%,2.96%,"基建ETF(516950), 国泰中证基建ETF(159619), 华夏中证基建ETF(159635), 国泰中证基建ETF发起联接A(016836), 华安中证基建指数发起式A(016908), 国泰中证基建ETF发起联接C(016837), 华安中证基建指数发起式C(016909), 华夏中证基建ETF发起式联接A(017683), 华夏中证基建ETF发起式联接C(017684)"
A股,930614,2015-04-07,环保50,成长,,-39.44%,-62.36%,-37.85%,3.7e+01,87.15%,2.9,56.92%,7.84%,1.56%,"国泰中证环保产业50ETF(159861), 国泰中证环保产业50ETF联接A(012503), 国泰中证环保产业50ETF联接C(012504), 国泰中证环保产业50ETF联接E(021610)"
A股,930625,2015-04-21,SHS互联网,成长,,-25.29%,-63.51%,-51.16%,2.8e+01,21.29%,3.7,24.42%,13.21%,0.75%,"嘉实中证沪港深互联网ETF(517200), 互联网50(517050), 互联网龙头ETF(159856), 东财中证沪港深互联网ETF发起式联接A(012371), 汇添富中证沪港深互联网ETF(159729), 东财中证沪港深互联网ETF发起式联接C(012372), 东财中证沪港深互联网ETF发起式联接E(021358), 互联网ETF沪港深(159550)"
A股,930632,2015-05-12,CS稀金属,周期,,-13.17%,-66.21%,-61.08%,4.7e+01,51.98%,4.2,73.48%,8.94%,0.68%,"华富中证稀有金属主题ETF(561800), 嘉实中证稀有金属主题ETF(562800), 广发中证稀有金属ETF(159608), 嘉实中证稀有金属主题ETF发起联接A(014110), 华宝中证稀有金属指数增强发起A(013942), 嘉实中证稀有金属主题ETF发起联接C(014111), 华宝中证稀有金属指数增强发起C(013943), 稀有金属ETF基金(159671), 工银中证稀有金属主题ETF发起式联接A(019087), 工银中证稀有金属主题ETF发起式联接C(019088), 广发中证稀有金属ETF发起式联接A(019874), 广发中证稀有金属ETF发起式联接C(019875)"
A股,930633,2015-05-08,中证旅游,成长,,-33.98%,-53.17%,-29.07%,2.6e+03,56.30%,2.8,79.49%,0.11%,0.74%,"富国中证旅游主题ETF(159766), 华夏中证旅游主题ETF(562510)"
A股,930641,2015-05-19,中证中药,成长,,-27.29%,-42.37%,-20.74%,2.5e+01,19.69%,2.3,1.57%,9.20%,3.01%,"汇添富中证中药ETF联接（LOF）A(501011), 汇添富中证中药ETF联接（LOF）C(501012), 中医药(561510), 汇添富中证中药ETF(560080), 中药ETF(159647), 中药(562390), 鹏华中证中药ETF联接A(016891), 鹏华中证中药ETF联接C(016892)"
A股,930651,2015-06-05,CS计算机,成长,,-31.01%,-75.53%,-64.53%,6.2e+01,62.69%,5.1,75.66%,8.23%,0.87%,"天弘中证计算机主题ETF联接A(001629), 天弘中证计算机主题ETF联接C(001630), 国泰中证计算机主题ETF联接A(160224), 国泰中证计算机主题ETF(512720), 天弘中证计算机主题ETF(159998), 国泰中证计算机主题ETF联接C(010210), 国泰中证计算机主题ETF联接E(022541)"
A股,930652,2015-06-05,CS电子,成长,,10.85%,-62.10%,-65.81%,6.3e+01,97.82%,5.9,99.38%,9.37%,0.61%,"天弘中证电子ETF联接A(001617), 天弘中证电子ETF联接C(001618), 天弘中证电子ETF(159997)"
A股,930653,2015-06-05,CS食品饮,成长,,-52.38%,-60.40%,-16.84%,2.2e+01,7.78%,4.1,6.75%,18.64%,3.55%,"天弘中证食品饮料ETF联接C(001632), 天弘中证食品饮料ETF联接A(001631), 天弘中证食品饮料ETF(159736), 东财食品饮料指数增强C(012341), 东财食品饮料指数增强A(012340), 东财食品饮料指数增强E(022178)"
A股,930697,2015-07-07,家用电器,成长,,-6.03%,-42.54%,-38.85%,1.7e+01,46.25%,2.7,24.79%,15.88%,3.38%,"广发中证全指家用电器ETF联接A(005063), 广发中证全指家用电器ETF联接C(005064), 国泰中证全指家用电器ETF联接A(008713), 国泰中证全指家用电器ETF(159996), 国泰中证全指家用电器ETF联接C(008714), 富国中证全指家用电器ETF(561120), 广发中证全指家用电器ETF(560880), 富国中证全指家用电器ETF发起式联接A(017226), 富国中证全指家用电器ETF发起式联接C(017227), 嘉实中证全指家用电器指数发起式A(018564), 嘉实中证全指家用电器指数发起式C(018565), 国泰中证全指家用电器ETF联接E(022483), 南方中证全指家用电器指数发起(024315)"
A股,930707,2015-07-13,中证畜牧,周期,,-52.07%,-63.56%,-23.97%,1.7e+01,16.93%,2.6,10.01%,15.29%,2.24%,"招商中证畜牧养殖ETF(516670), 平安中证畜牧养殖ETF(516760), 国泰中证畜牧养殖ETF(159865), 畜牧ETF(159867), 国泰中证畜牧养殖ETF联接A(012724), 国泰中证畜牧养殖ETF联接C(012725), 招商中证畜牧养殖ETF联接A(014414), 招商中证畜牧养殖ETF联接C(014415), 国泰中证畜牧养殖ETF联接E(022475)"
A股,930708,2015-07-13,中证有色,周期,,20.93%,-52.23%,-60.50%,2.9e+01,44.36%,3.8,99.09%,13.10%,1.21%,"华宝中证有色金属ETF(159876), 东财有色增强A(011630), 有色金属(159871), 东财有色增强C(011631), 国泰中证有色金属ETF(159881), 华宝中证有色金属ETF发起式联接A(017140), 华宝中证有色金属ETF发起式联接C(017141), 东财有色增强E(020735)"
A股,930709,2015-07-13,香港证券,周期,,-9.03%,-62.69%,-58.99%,1.4e+01,61.85%,1.2,73.25%,8.57%,2.45%,易方达中证香港证券投资主题（港股通）ETF(513090)
A股,930712,2015-07-31,CS物联网,成长,,12.34%,-46.49%,-52.37%,3.4e+01,58.65%,4.7,73.76%,13.82%,1.32%,"物联网(516330), 华夏中证物联网主题ETF(516260), 南方中证物联网主题ETF(159896), 易方达中证物联网主题ETF(159895), 招商中证物联网主题ETF(159701), 易方达中证物联网主题ETF联接发起式A(019167), 易方达中证物联网主题ETF联接发起式C(019168), 华夏物联网ETF联接A(019975), 华夏中证物联网主题ETF发起式联接C(019976), 南方中证物联网主题ETF发起联接A(023196), 南方中证物联网主题ETF发起联接C(023197)"
A股,930713,2015-07-31,CS人工智,成长,,6.23%,-54.61%,-57.27%,6.4e+01,81.92%,7.5,99.96%,11.72%,0.59%,"融通人工智能指数(LOF)A(161631), 华夏中证人工智能主题ETF(515070), 平安人工智能ETF(512930), 华夏中证人工智能主题ETF联接C(008586), 易方达中证人工智能主题ETF(159819), 融通人工智能指数(LOF)C(009239), 华夏人工智能ETF联接A(008585), 西部利得中证人工智能主题指数增强A(011832), 西部利得中证人工智能主题指数增强C(011833), 天弘中证人工智能A(011839), 天弘中证人工智能C(011840), 易方达中证人工智能主题ETF联接A(012733), 易方达中证人工智能主题ETF联接C(012734), 华夏中证人工智能主题ETF联接D(021580), 中欧中证人工智能主题指数发起A(023461), 平安中证人工智能主题ETF发起式联接A(023384), 中欧中证人工智能主题指数发起C(023462), 平安中证人工智能主题ETF发起式联接C(023385), 万家中证人工智能主题ET(159248), 平安中证人工智能主题ETF发起式联接E(024610)"
A股,930716,2015-07-31,CS物流,成长,,-45.82%,-58.36%,-23.15%,1.4e+01,27.22%,1.2,4.74%,8.57%,3.83%,"富国中证现代物流ETF(516910), 物流快递(516530)"
A股,930719,2015-08-05,CS精准医,成长,,-52.04%,-71.59%,-40.76%,6.2e+01,68.57%,5.1,29.37%,8.23%,0.73%,"汇添富中证精准医疗指数（LOF）C(501006), 汇添富中证精准医疗指数（LOF）A(501005)"
A股,930721,2015-08-05,CS智汽车,成长,,-4.21%,-51.21%,-49.07%,3.4e+01,18.67%,4.0,56.96%,11.76%,0.93%,"富国中证智能汽车指数（LOF）A(161033), 富国中证智能汽车主题ETF(515250), 天弘中证智能汽车A(010955), 智能驾驶(516520), 天弘中证智能汽车C(010956), 华夏中证智能汽车主题ETF(159888), 国泰中证智能汽车主题ETF(159889), 富国中证智能汽车指数（LOF）C(013292), 汇添富中证智能汽车主题ETF(159795)"
A股,930726,2015-08-05,CS生医,成长,,-57.84%,-68.60%,-25.52%,5.5e+01,63.06%,4.8,23.48%,8.73%,0.85%,"国泰中证生物医药ETF联接C(006757), 国泰中证生物医药ETF(512290), 国泰中证生物医药ETF联接A(006756), 国泰中证生物医药ETF联接E(022498)"
A股,930740,2018-12-04,300红利LV,价值,,-6.89%,-23.91%,-18.28%,9.1,90.29%,0.95,80.81%,10.44%,4.42%,"嘉实沪深300红利低波动ETF(515300), 嘉实沪深300红利低波动ETF联接C(007606), 嘉实沪深300红利低波动ETF联接A(007605), 嘉实沪深300红利低波动ETF联接Y(022897), 中加沪深300红利低波动指数(024906)"
A股,930743,2015-08-26,中证生科,成长,,-55.79%,-67.62%,-26.76%,5.6e+01,72.61%,4.0,18.66%,7.14%,0.89%,"汇添富中证生物科技指数（LOF）A(501009), 汇添富中证生物科技指数（LOF）C(501010), 易方达中证生物科技主题ETF(159837), 招商中证生物科技主题ETF(159849), 华夏中证生物科技主题ETF(516500), 生物科技ETF基金(516930), 华夏中证生物科技主题ETF发起式联接A(017604), 华夏中证生物科技主题ETF发起式联接C(017605), 易方达中证生物科技主题ETF联接发起式A(019324), 易方达中证生物科技主题ETF联接发起式C(019325)"
A股,930781,2016-02-04,中证影视,成长,,-64.33%,-78.22%,-38.94%,2e+02,53.63%,2.4,49.23%,1.20%,0.87%,"影视ETF(159855), 国泰中证影视主题ETF(516620)"
A股,930782,2016-02-04,500SNLV,价值,,7.78%,-37.10%,-41.64%,2.1e+01,59.61%,1.8,75.76%,8.57%,2.22%,"景顺长城中证500行业中性低波动指数A(003318), 华安中证500低波ETF(512260), 景顺长城中证500行业中性低波动指数C(019359)"
A股,930791,2016-03-22,CS医药TI,成长,,-45.75%,-58.84%,-24.13%,3.8e+01,67.79%,3.1,19.11%,8.16%,1.38%,"富国中证医药主题指数增强型（LOF）A(161035), 天弘中证医药主题指数增强A(012401), 富国中证医药主题指数增强型（LOF）C(005626), 天弘中证医药主题指数增强C(012402), 天弘中证医药主题指数增强E(022558)"
A股,930792,2016-04-22,HK银行,价值,,4.06%,-48.72%,-50.72%,7.0,84.76%,0.64,54.61%,9.14%,5.08%,"鹏华中证香港银行指数（LOF）A(501025), 泰康香港银行指数A(006809), 泰康香港银行指数C(006810), 鹏华中证香港银行指数(LOF)C(010365)"
A股,930820,2016-05-11,CS高端制,成长,,-4.60%,-51.78%,-49.45%,4.9e+01,96.38%,4.1,90.07%,8.37%,0.91%,"富国中证高端制造指数增强型（LOF）A(161037), 富国中证高端制造指数增强型（LOF）C(005627)"
A股,930821,2016-05-11,中证VR,成长,,-5.63%,-52.90%,-50.09%,5e+01,68.85%,3.2,66.27%,6.40%,0.81%,VRETF(159786)
A股,930839,2016-06-08,港股通高息精选,价值,,-11.61%,-47.34%,-40.42%,1.1e+01,63.61%,1.5,80.53%,13.64%,5.45%,"民生加银港股通高股息A(004532), 民生加银中证港股通指数C(004533), 港股红利ETF(159691), 工银中证港股通高股息精选ETF联接A(024247), 工银中证港股通高股息精选ETF联接C(024248)"
A股,930850,2016-07-20,智能制造,成长,,8.06%,-50.88%,-54.54%,6.1e+01,98.68%,5.6,96.41%,9.18%,0.71%,华宝中证智能制造主题ETF(516800)
A股,930851,2016-07-20,云计算,成长,,2.53%,-59.60%,-60.60%,9.8e+01,82.48%,7.5,99.82%,7.65%,0.30%,"融通中证云计算与大数据主题指数（LOF）A(161628), 易方达中证云计算与大数据主题ETF(516510), 招商中证云计算ETF(159890), 东财云计算指数增强A(012321), 华夏中证云计算与大数据主题ETF(516630), 东财云计算指数增强C(012322), 大数据ETF(159739), 融通中证云计算与大数据主题指数（LOF）C(014130), 易方达中证云计算与大数据主题ETF联接发起式A(017853), 易方达中证云计算与大数据主题ETF联接发起式C(017854), 华夏云计算与大数据ETF联接A(019868), 华夏中证云计算与大数据主题ETF发起式联接C(019869), 广发中证云计算与大数据ETF(159527), 广发中证云计算与大数据ETF发起式联接A(021397), 广发中证云计算与大数据ETF发起式联接C(021398), 鹏华中证云计算与大数据主题ETF发起式联接A(021090), 招商中证云计算与大数据主题ETF发起式联接A(021716), 鹏华中证云计算与大数据主题ETF发起式联接C(021091), 招商中证云计算与大数据主题ETF发起式联接C(021717), 华安中证云计算与大数据主题指数发起式A(019989), 华安中证云计算与大数据主题指数发起式C(019990)"
A股,930875,2016-08-17,空天军工,成长,,-25.44%,-59.40%,-45.55%,8.4e+01,94.87%,4.3,66.73%,5.12%,0.56%,"鹏华空天军工指数（LOF）A(160643), 鹏华空天军工指数C（LOF）(010364)"
A股,930901,2016-10-18,动漫游戏,成长,,-44.43%,-75.11%,-55.21%,3.9e+01,42.51%,4.1,81.13%,10.51%,1.24%,"国泰中证动漫游戏ETF(516010), 游戏动漫(516770), 华夏中证动漫游戏ETF(159869), 国泰中证动漫游戏ETF联接A(012728), 国泰中证动漫游戏ETF联接C(012729), 华夏中证动漫游戏ETF发起式联接A(012768), 华夏中证动漫游戏ETF发起式联接C(012769), 国泰中证动漫游戏ETF联接E(022481), 华夏中证动漫游戏ETF发起式联接D(023715)"
A股,930902,2016-10-18,中证数据,成长,,-35.44%,-65.13%,-45.99%,1.7e+02,89.03%,4.6,80.78%,2.71%,0.42%,"富国中证大数据产业ETF(515400), 华夏中证大数据产业ETF(516000), 华宝大数据ETF(516700), 富国中证大数据产业ETF发起式联接A(018134), 富国中证大数据产业ETF发起式联接C(018135), 华夏中证大数据产业ETF发起式联接A(020335), 华夏中证大数据产业ETF发起式联接C(020336), 华夏中证大数据产业ETF发起式联接D(023779)"
A股,930914,2016-11-25,港股通高股息,价值,,-4.36%,-49.12%,-46.80%,7.7,81.84%,0.73,67.91%,9.48%,5.75%,"汇添富中证港股通高股息投资ETF联接（LOF）C(501306), 汇添富中证港股通高股息投资ETF联接（LOF）A(501305), 港股红利(513530), 华泰柏瑞中证港股通高股息投资ETF发起式联接A(018387), 华泰柏瑞中证港股通高股息投资ETF发起式联接C(018388), 汇添富中证港股通高股息投资ETF(513820), 国泰中证港股通高股息投资ETF(159331), 港股高股息ETF(159302), 天弘中证港股通高股息投资指数发起A(022072), 国泰中证港股通高股息投资ETF发起联接A(022274), 天弘中证港股通高股息投资指数发起C(022073), 国泰中证港股通高股息投资ETF发起联接C(022275), 华泰柏瑞中证港股通高股息投资ETF发起式联接I(022663), 嘉实中证港股通高股息投资ETF(513830), 国泰君安中证港股通高股息投资指数发起（QDII）A(023073), 长城中证港股通高股息指数发起（QDII）A(022325), 国泰君安中证港股通高股息投资指数发起（QDII）C(023074), 易方达中证港股通高股息投资指数发起式A(023389), 易方达中证港股通高股息投资指数发起式C(023390), 长城中证港股通高股息指数发起（QDII）C(022326), 中银中证港股通高股息投资指数型证券投资基金(023104), 中银中证港股通高股息投资指数C(023105), 嘉实中证港股通高股息投资ETF发起联接A(024705), 富国中证港股通高股息投资ETF(159277), 东方红中证港股通高股息投资指数A(024227), 嘉实中证港股通高股息投资ETF发起联接C(024706), 东方红中证港股通高股息投资指数C(024228)"
A股,930931,2017-01-16,港股通50,价值,,-13.25%,-53.72%,-46.65%,1.1e+01,81.70%,1.2,78.45%,10.91%,3.33%,"港股通50(513550), 华夏中证港股通50ETF(159711), 国泰中证港股通50ETF(159712), 华夏中证港股通50ETF发起式联接A(018721), 华夏中证港股通50ETF发起式联接C(018722)"
A股,930939,2018-11-21,500质量,成长,,-3.14%,-41.09%,-39.18%,2e+01,86.00%,2.3,64.03%,11.50%,1.93%,"鹏扬中证500质量成长ETF联接C(007594), 鹏扬中证500质量成长ETF联接A(007593), 鹏扬中证500质量成长ETF(560500), 易方达中证500质量成长ETF(159606), 易方达中证500质量成长ETF联接发起式A(019320), 易方达中证500质量成长ETF联接发起式C(019321), 500成长(562340)"
A股,930955,2017-05-26,红利低波100,价值,,-2.85%,-28.63%,-26.54%,9.5,88.68%,1.0,82.80%,10.53%,4.66%,"天弘中证红利低波动100ETF联接A(008114), 天弘中证红利低波动100ETF联接C(008115), 景顺长城中证红利低波动100ETF(515100), 景顺长城中证红利低波动100ETF联接A(016128), 景顺长城中证红利低波动100ETF联接C(016129), 天弘中证红利低波动100ETF(159549), 博时中证红利低波动100指数发起式A(019853), 博时中证红利低波动100指数发起式C(019854), 交银中证红利低波动100指数A(020156), 招商中证红利低波动100指数发起式A(020672), 大成中证红利低波动100ETF(560520), 博时中证红利低波100ETF(159307), 交银中证红利低波动100指数C(020157), 招商中证红利低波动100指数发起式C(020673), 博时中证红利低波动100ETF联接A(021550), 银河中证红利低波动100指数A(021388), 中欧中证红利低波动100指数发起A(021375), 博时中证红利低波动100ETF联接C(021551), 银河中证红利低波动100指数C(021389), 中欧中证红利低波动100指数发起C(021376), 长城中证红利低波100ETF联接A(022097), 长盛中证红利低波动100指数A(022342), 长城中证红利低波100ETF联接C(022098), 天弘中证红利低波动100ETF联接Y(022980), 长盛中证红利低波动100指数C(022343), 长城中证红利低波100ETF(159228), 汇安中证红利低波动100指数(024220)"
A股,930965,2017-06-23,HKC医药C,成长,,-48.23%,-75.07%,-51.84%,3.5e+01,53.57%,3.0,63.23%,8.57%,0.73%,"香港医药(513700), 平安中证港股医药ETF(159718), 港股通医药ETF(159776), 易方达中证港股通医药卫生综合ETF(513200), 易方达中证港股通医药卫生综合ETF联接发起式A(018557), 易方达中证港股通医药卫生综合ETF联接发起式C(018558), 平安中证港股医药ETF联接A(019598), 平安中证港股医药ETF联接C(019599), 鹏华中证港股通医药卫生ETF发起式联接A(021088), 鹏华中证港股通医药卫生ETF发起式联接C(021089), 平安中证港股医药ETF联接E(024544)"
A股,930986,2017-06-22,金融科技,成长,,-14.42%,-53.03%,-45.12%,7.7e+01,74.76%,5.9,82.13%,7.66%,0.47%,"华宝中证金融科技主题ETF(159851), 华夏中证金融科技主题ETF(516100), 博时金融科技ETF(516860), 华宝中证金融科技主题ETF发起式联接C(013478), 华宝中证金融科技主题ETF发起式联接A(013477), 博时中证金融科技主题ETF联接A(023536), 华夏中证金融科技主题ETF发起式联接A(023884), 华夏中证金融科技主题ETF发起式联接C(023885), 博时中证金融科技主题ETF联接C(023537), 汇添富中证金融科技主题ETF(159103), 易方达中证金融科技主题ETF(159299)"
A股,930997,2017-07-19,新能源车,成长,,-28.80%,-67.51%,-54.37%,3.5e+01,59.94%,4.1,60.96%,11.71%,1.13%,"汇添富中证新能源汽车产业指数（LOF）C(501058), 汇添富中证新能源汽车产业指数（LOF）A(501057), 平安中证新能源汽车产业ETF(515700), 平安中证新能车ETF联接A(012698), 汇添富中证新能源汽车产业ETF(516390), 平安中证新能源汽车ETF发起联接C(012699), 平安中证新能源汽车ETF发起联接E(024504)"
A股,931008,2013-07-15,汽车指数,成长,,-4.66%,-46.17%,-43.54%,2.8e+01,57.97%,2.5,78.84%,8.93%,1.57%,"广发中证全指汽车指数A(004854), 广发中证全指汽车指数C(004855), 广发中证全指汽车ETF(159512), 南方中证全指汽车指数发起A(021770), 南方中证全指汽车指数发起C(021771)"
A股,931009,2013-07-15,建筑材料,周期,,-47.09%,-62.82%,-29.73%,3.3e+01,96.07%,1.0,23.32%,3.03%,3.01%,"广发中证全指建筑材料指数A(004856), 广发中证全指建筑材料指数C(004857), 国泰中证全指建筑材料ETF(159745), 富国中证全指建筑材料ETF(516750), 易方达中证全指建筑材料ETF(159787)"
A股,931052,2017-12-08,国信价值,价值,*,8.18%,-31.89%,-37.04%,1e+01,98.16%,1.4,98.88%,14.00%,4.38%,"富国中证价值ETF(512040), 富国中证价值ETF联接A(006748), 富国中证价值ETF联接C(007191)"
A股,931066,2018-02-05,军工龙头,成长,,-20.63%,-57.36%,-46.28%,8.8e+01,99.95%,4.1,67.50%,4.66%,0.57%,富国中证军工龙头ETF(512710)
