931643,科创创业50,成长,"天弘中证科创创业50ETF联接A(012894), 天弘中证科创创业50ETF联接C(012895), 兴银中证科创创业50指数A(012898), 兴银中证科创创业50指数C(012899), 鹏扬中证科创创业50ETF联接A(012907), 鹏扬中证科创创业50ETF联接C(012908), 南方中证科创创业50ETF联接A(013298), 南方中证科创创业50ETF联接C(013299), 招商中证科创创业50ETF联接A(013302), 招商中证科创创业50ETF联接C(013303), 易方达中证科创创业50联接A(013304), 易方达中证科创创业50联接C(013305), 国泰中证科创创业50ETF发起联接A(013306), 国泰中证科创创业50ETF发起联接C(013307), 华夏科创创业50ETF发起式联接A(013310), 华夏科创创业50ETF发起式联接C(013311), 富国中证科创创业50ETF联接A(013313), 富国中证科创创业50ETF联接C(013314), 嘉实中证科创创业50ETF发起联接A(013315), 嘉实中证科创创业50ETF发起联接C(013316), 华宝中证科创创业50ETF发起式联接A(013317), 华宝中证科创创业50ETF发起式联接C(013318), 博时中证科创创业50ETF发起式联接A(014099), 博时中证科创创业50ETF发起式联接C(014100), 汇添富中证科创创业50指数增强发起式A(014218), 华富中证科创创业50指数增强A(016122), 易米中证科创创业50指数增强发起A(016392), 长信中证科创创业50指数增强A(016729), 招商中证科创创业50ETF(588300), 方正富邦科创创业50ETF(588310), 广发中证科创创业50增强策略ETF(588320), 双创龙头(588330), 鹏扬中证科创创业50ETF(588350), 国泰中证科创创业50ETF(588360), 富国中证科创创业50ETF(588380), 博时中证科创创业50ETF(588390), 嘉实中证科创创业50ETF(588400), 双创龙头ETF(159603), 南方中证科创创业50ETF(159780), 易方达中证科创创业50ETF(159781), 双创50(159782), 华夏中证科创创业50ETF(159783)"
980030,消费电子,成长,"东财消费电子指数增强A(012319), 东财消费电子指数增强C(012320), 华夏国证消费电子主题ETF(159732)"
399296,创成长,成长,"华夏创成长ETF联接A(007474), 华夏创成长ETF联接C(007475), 华夏创成长ETF(159967)"
000913,300医药,成长,"易方达沪深300医药ETF联接A(001344), 易方达沪深300医药ETF联接C(007883), 易方达沪深300医药ETF(512010)"
930719,CS精准医,成长,"汇添富中证精准医指数（LOF）A(501005), 汇添富中证精准医指数（LOF）C(501006)"
931526,企业核心竞争力50,成长,"核心50ETF(560650), 漂亮50(561500)"
931380,科技50,成长,"易方达中证科技50联接A(012717), 易方达中证科技50联接C(012718), 易方达中证科技50ETF(159807)"
931152,CS创新药,成长,"广发创新药ETF联接A(012737), 广发创新药ETF联接C(012738), 银华中证创新药产业ETF发起式联接A(012781), 银华中证创新药产业ETF发起式联接C(012782), 工银中证创新药产业ETF发起式联接A(013011), 工银中证创新药产业ETF发起式联接C(013012), 广发创新药ETF(515120), 新药ETF(516060), 易方达中证创新药产业ETF(516080), 上投摩根中证创新药产业ETF(560900), 建信中证创新药产业ETF (159835), 南方中证创新药产业ETF(159858), 创新药(159992)"
399088,深创100,成长,"华宝深创100ETF发起式联接A(013177), 华宝深创100ETF发起式联接C(013178), 永赢深创100ETF发起式联接A(013907), 永赢深创100ETF发起式联接C(013908), 深创100(159716), 深创龙头ETF(159721)"
931166,医药健康100,成长,"嘉实医药健康100ETF联接A(008154), 嘉实医药健康100ETF联接C(008155), 嘉实医药健康100ETF(515960)"
399983,地产等权,价值,"招商沪深300地产等权重指数C(013273), 招商沪深300地产等权重指数A(161721)"
H30178,医疗保健,成长,"天弘中证全指医疗保健设备与服务ETF发起式联接A(012326), 天弘中证全指医疗保健设备与服务ETF发起式联接C(012327), 医服ETF(516610), 保健ETF(516790), 医疗设备ETF(159873), 南方中证全指医疗保健设备与服务ETF(159877), 建信中证全指医疗保健设备与服务ETF(159891)"
931590,500成长创新,成长,华夏中证智选500成长创新策略ETF(159620)
000069,消费80,成长,"招商上证消费80ETF联接C(004407), 招商上证消费80ETF联接A(217017), 招商上证消费80ETF(510150)"
931009,建筑材料,周期,"广发中证全指建筑材料指数A(004856), 广发中证全指建筑材料指数C(004857), 国泰中证全指建筑材料ETF发起联接A(013019), 国泰中证全指建筑材料ETF发起联接C(013020), 富国中证全指建筑材料ETF(516750), 国泰中证全指建筑材料ETF(159745), 易方达中证全指建筑材料ETF(159787)"
399393,国证地产,价值,"国泰国证房地产行业指数C(015042), 国泰国证房地产行业指数A(160218)"
931494,消费电子,成长,"国泰中证消费电子主题ETF发起联接A(014906), 国泰中证消费电子主题ETF发起联接C(014907), 富国中证消费电子主题ETF发起式联接A(015876), 平安中证消费电子主题ETF发起式联接A(015894), 招商中证消费电子主题ETF联接A(016007), 富国中证消费电子主题ETF(561100), 国泰中证消费电子主题ETF(561310), 平安中证消费电子主题ETF(561600), 易方达中证消费电子主题ETF(562950), 景顺长城中证消费电子ETF(159733), 消费电子龙头ETF(159769), 招商中证消费电子主题ETF(159779)"
931167,先进制造100,成长,嘉实先进制造100ETF(515870)
931719,CS电池,成长,"汇添富中证电池主题ETF发起式联接A(012862), 汇添富中证电池主题ETF发起式联接C(012863), 大成中证电池主题指数发起式A(015997), 招商中证电池主题ETF联接A(016019), 嘉实中证电池主题ETF发起联接A(016566), 富国中证电池主题ETF发起式联接A(017222), 富国中证电池主题ETF(561160), 招商中证电池主题ETF(561910), 嘉实中证电池主题ETF(562880), 汇添富中证电池主题ETF(159796)"
399295,创业蓝筹,成长,"华夏创业板低波价值ETF发起式联接A(007472), 华夏创业板低波价值ETF发起式联接C(007473), 华夏创业板低波价值ETF(159966)"
H30217,医疗器械,成长,"永赢中证全指医疗器械ETF发起联接A(013415), 永赢中证全指医疗器械ETF发起联接C(013416), 汇添富中证全指医疗器械ETF发起式联接A(017632), 汇添富中证全指医疗器械ETF(159797), 医疗器械ETF(159883), 招商中证全指医疗器械ETF(159898)"
000813,细分化工,成长,"华宝化工ETF联接A(012537), 华宝化工ETF联接C(012538), 国泰中证细分化工产业主题ETF联接A(012730), 国泰中证细分化工产业主题ETF联接C(012731), 嘉实中证细分化工产业主题指数发起式A(013527), 鹏华中证细分化工产业主题ETF联接A(014942), 汇添富中证细分化工产业主题指数增强发起式A(015225), 华泰紫金中证细分化工产业主题指数发起A(015328), 天弘中证细分化工指数发起A(015896), 化工ETF(516020), 富国中证细分化工产业主题ETF(516120), 国泰中证细分化工产业主题ETF(516220), 化工产业(516690), 化工ETF(159870)"
000814,细分医药,成长,"华安中证细分医药ETF联接A(000373), 华安中证细分医药ETF联接C(000376), 华安中证细分医药ETF(512120)"
930726,CS生医,成长,"国泰中证生物医药ETF联接A(006756), 国泰中证生物医药ETF联接C(006757), 国泰中证生物医药ETF(512290)"
399394,国证医药,成长,"国泰国证医药卫生行业指数C(010144), 国泰国证医药卫生行业指数A(160219)"
HSSSHID,恒生沪深港创新药精选50指数,成长,创新药AH(517380)
930938,500成长估值,成长,嘉实中证500成长估值ETF(515510)
000808,医药生物,成长,申万菱信中证申万医药生物指数A(163118)
